author,authorURL,name,url,previewExcerpt,type,producer,productImage,date
Gserper,https://www.chess.com/member/gserper,The Opening For Chess Trolls,https://www.chess.com/article/view/the-opening-for-chess-trolls,"
                  Last week my student told me that his internet opponent played a weird opening. I wasn't surprised a bit since any opening that doesn't allow the Scholar's Mate is labeled as ""weird"" by this little kid. Yet, I was intrigued when he mentioned that ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26270.b8405df7.630x354o.566ce334b369.png,"Oct 21, 2020, 5:28:50 AM"
Gserper,https://www.chess.com/member/gserper,Would You Play These Crazy Moves?,https://www.chess.com/article/view/crazy-chess-moves,"
                  About 30 years ago, the famous Soviet coach Vladimir Zak wrote a book ""The Ways of Chess Improvement."" I already expressed my opinion about this chess personality in a prior article. Nevertheless, the book was quite interesting, mainly because Zak...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26476.9ac1096c.630x354o.4c3077470822.png,"Dec 15, 2020, 4:38:56 AM"
CHESScom,https://www.chess.com/member/chesscom,What is Zwischenzug? | Chess Terms,https://www.chess.com/article/view/zwischenzug-chess,"
                  Zwischenzug is a German word that means ""in-between move."" Such moves are common in chess, but many times they can be quite unexpected! Other terms which mean the same thing in chess literature are intermezzo, intermediate move, and&nbsp...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26406.f337ccb2.630x354o.c0f6c61f6e72.png,"Dec 28, 2020, 4:20:52 AM"
CHESScom,https://www.chess.com/member/chesscom,Top Level Trickery,https://www.chess.com/article/view/top-level-trickery,"
                  GM Dejan Bojkov is back with a series about how top Grandmasters create counterplay and defend the most difficult looking positions! 
Try The Challenges!
Not what you're looking for? Go back to the video guide. 
Get Rid Of Annoying Pieces:...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
CHESScom,https://www.chess.com/member/chesscom,How To Avoid Mistakes,https://www.chess.com/article/view/how-to-avoid-mistakes,"
                  How should you avoid the most common mistakes in chess? GM Romain Edouard explains how to stay object and focused, how to make concrete concessions when needed and maintain your fighting spirit! 
Try The Challenges!
Not what you're looking for?&...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
Gserper,https://www.chess.com/member/gserper,Make Your Own Opening Theory,https://www.chess.com/article/view/make-opening-theory,"
                  ""Every strong chess player should have his own opening theory which is different from the mainstream theory."" 
This is one of the most important rules I learned from World Champion Mikhail Botvinnik as a student in his famous Botvinnik-Kasparov s...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26270.b8405df7.630x354o.566ce334b369.png,"Oct 21, 2020, 5:28:50 AM"
Gserper,https://www.chess.com/member/gserper,What Can Checkers Teach Us About Chess?,https://www.chess.com/article/view/checkers-chess,"
                  Even though chess and checkers have the same checkered board, these two games are completely different. 
Chess is much more complex and therefore it is chess, not checkers, that is frequently used in commercials to underline the depth of a b...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26476.9ac1096c.630x354o.4c3077470822.png,"Dec 15, 2020, 4:38:56 AM"
Gserper,https://www.chess.com/member/gserper,"First You Smile, Then You Resign",https://www.chess.com/article/view/tripled-pawns-chess,"
                  Chess is a very complicated game that requires utmost concentration. Therefore most of the time chess players have a very serious facial expression. 
I doubt that a fianchettoed bishop or a semi-open file would make many people laugh. Yet th...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
CHESScom,https://www.chess.com/member/chesscom,Pawn Structures That Win,https://www.chess.com/article/view/pawn-structures-that-win-1,"
                  Life is easier when you have a good pawn structure. GM Aman Hambleton demonstrates five pawn structures that give you a great chance to win the game. 
Try The Challenges!
Not what you're looking for? Go back to the video guide. 
The Marocz...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
CHESScom,https://www.chess.com/member/chesscom,How To Swindle Your Opponent,https://www.chess.com/article/view/how-to-swindle-your-opponent,"
                  What should you do when you're losing a chess game? If it's not time to resign, it's time to swindle your opponent! WGM Qiyu Zhou demonstrates the tricks you need to survive lost positions! 
Try The Challenges!
Not what you're looking for? ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
Gserper,https://www.chess.com/member/gserper,How To Find The Best Chess Move,https://www.chess.com/article/view/how-to-find-the-best-chess-move,"
                  GM Alexander Kotov is one of the most underappreciated figures in chess history. Ask average club players what they know about Kotov and at best they will recall his most famous game versus GM Averbakh. 
Personally, I don't think that it was such...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26136.7760b769.630x354o.ae938147ba94.png,"Sep 7, 2020, 12:44:33 PM"
CHESScom,https://www.chess.com/member/chesscom,The Sicilian Nimzowitsch Variation,https://www.chess.com/article/view/the-sicilian-nimzowitsch-variation,"
                  How does IM Tuan Minh Le compete in blitz with the top players in the world? He uses the rare and sharp Nimzowitsch Variation of the Sicilian! In this course, Minh Le, along with NM Sam Copeland explains his favorite variation and all of its compl...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26270.b8405df7.630x354o.566ce334b369.png,"Oct 21, 2020, 5:28:50 AM"
Gserper,https://www.chess.com/member/gserper,My 10 Most Memorable Chess Games Of 2019,https://www.chess.com/article/view/ten-most-memorable-games-of-2019,"
                  The year 2019 was so rich for chess tournaments and exciting games that I decided to make my own list of the top 10 memorable games. 
It was not easy to choose from hundreds of great games, so chances are that your list would be completely differ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26476.9ac1096c.630x354o.4c3077470822.png,"Dec 15, 2020, 4:38:56 AM"
Gserper,https://www.chess.com/member/gserper,Magnus Carlsen's Unfinished Masterpiece,https://www.chess.com/article/view/magnus-carlsens-unfinished-masterpiece,"
                  People who followed the 2019 Tata Steel Chess India Rapid & Blitz will forever remember the last day of this super-tournament. 
First the live transmission brought us a strange five-move draw played by the world champion, Magnus Carlsen. Then...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26476.9ac1096c.630x354o.4c3077470822.png,"Dec 15, 2020, 4:38:56 AM"
Gserper,https://www.chess.com/member/gserper,How Your Opponent Will Help You,https://www.chess.com/article/view/chess-opponent-help-you,"
                  Siegbert Tarrasch was one of the best players of his time and definitely deserves to be included in the list of strongest chess players who never became world champion.  

Tarrasch. Photo via Wikipedia.

Just like Reuben Fine, Tarrasch wa...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
Silman,https://www.chess.com/member/silman,More Things You Need To Know About Pawn Stucture,https://www.chess.com/article/view/more-pawn-structures,"
                  What is a pawn structure? 
From my online glossary, I define it as “the positioning of the whole pawn mass. Also referred to as the pawn skeleton. This positioning of the pawns is what usually dictates the types of plans available...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
Silman,https://www.chess.com/member/silman,The Eternal Battle: Bishops vs Knights,https://www.chess.com/article/view/the-eternal-battle-bishops-vs-knights,"
                  The Chess.com member dudejan asked: 

I always seem to struggle to know where to develop my bishops. For knights the concepts of outposts or placement behind a pawn to double defend certain squares are quite logical for me. But for bishops I don...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26136.7760b769.630x354o.ae938147ba94.png,"Sep 7, 2020, 12:44:33 PM"
TigerChess,https://www.chess.com/member/tigerchess,Your Games Analyzed,https://www.chess.com/article/view/your-games-analyzed,"
                  There's much to learn in the analysis of your own games. Perhaps equally effective is dissecting the successes and failures of your peers. In this series, watch as GM Magesh Panchanathan and WGM Tatev Abrahamyan review a pool of games fr...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26136.7760b769.630x354o.ae938147ba94.png,"Sep 7, 2020, 12:44:33 PM"
Gserper,https://www.chess.com/member/gserper,"The ""Offensive"" Chess Opening",https://www.chess.com/article/view/the-offensive-opening,"
                  In his recent stream, Russian GM Alexey Dreev called a certain opening ""indecent."" Moreover, he said that it is disrespectful towards your opponent to play this opening. He also said that if you don't understand why it is disrespectful behavior th...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26270.b8405df7.630x354o.566ce334b369.png,"Oct 21, 2020, 5:28:50 AM"
Gserper,https://www.chess.com/member/gserper,Do You Know This Rare Chess Fork?,https://www.chess.com/article/view/rare-chess-fork,"
                  A fork is one of the most important tactical elements in chess. 
There are dozens of different forks in chess, and I am sure you've seen many of them. Some of the forks are very common. For example, when I attend kids' competitions, I know that I...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26476.9ac1096c.630x354o.4c3077470822.png,"Dec 15, 2020, 4:38:56 AM"
Gserper,https://www.chess.com/member/gserper,How To Attack The Classical Way,https://www.chess.com/article/view/chess-attack-classical,"
                  Making forecasts is not one of my best skills. Actually it is quite the opposite: Usually my predictions of the future are quite bad. 
Yet one of my forecasts was a no-brainer, since I couldn't possibly have gone wrong with it.  Almost four ...
                ",Article,Chess.com,https://images.chesscomfiles.com/uploads/v1/article/26518.f34087a3.630x354o.9f372f29cb62.jpeg,"Dec 28, 2020, 12:50:38 PM"
